URL,UUID4,ToposText_ID,Place_Name,Place_Type,Reference,Lat,Long,Text
https://topostext.org/work/835,4ba3caeb-0f3f-46a1-a7e4-58e72dd3166a,https://topostext.org/place/300740RInd,India,['place'],:16,30,74,"§ 16  Then there is Greater India. Silk and all sorts of necessities are said to be exported from here. Living like their neighbors they pass their lives well and their land is great and good, being two hundred and ten days' journey wide. "
https://topostext.org/work/835,8d295bbd-9eb7-49a2-8885-c1781b438939,https://topostext.org/place/300740RInd,India,['place'],:17,30,74,"§ 17  Next to it, then, lies the region of Exim. It is said to have brave men who are very active in war and skilled in all sorts of endeavors. Whenever the Persians have begun to make war on Lesser India, its inhabitants seek aid here where they are prosperous. Their territory is one hundred and fifty days' journey wide. "
https://topostext.org/work/835,13ea176a-2d85-40a1-81a2-1b3607301523,https://topostext.org/place/300740RInd,India,['place'],:18,30,74,"§ 18  After these there is Lesser India, which is ruled by elders. They have a great number of elephants and the Persians get their elephants from there because of their quantity. Their land is fifteen days' journey wide. "
https://topostext.org/work/835,75152d8b-69e2-4b71-9b13-f1dc17b81719,https://topostext.org/place/370390ROsr,Osdroena,['place'],:22,37,39,"§ 22  V. After these is our territory, for Mesopotamia and Osdroena follow. Mesopotamia has many different cities and I wish to mention the most outstanding. These are Nisibis and Edessa, which have men who are good in many fields. There are very sagacious traders, good fighters, and wealthy men. They are provided with all sorts of goods, for they take in things from the Persians and are engaged in buying and selling throughout the entire Roman world; in their turn they trade with the Persians except for copper and iron, for it is not permitted to give copper and iron to enemies. These independent cities have, through the wisdom of their lord and master, walls which are renowned; in war these always render the Persians' valor useless. The cities are eager traders and transact their business well with every province. Edessa of Osdroena is also a fine city. "
https://topostext.org/work/835,164ae875-8145-41fa-a3b1-7316c81f6fae,https://topostext.org/place/371412UNis,Nisibis,['place'],:22,37.067,41.2149,"§ 22  V. After these is our territory, for Mesopotamia and Osdroena follow. Mesopotamia has many different cities and I wish to mention the most outstanding. These are Nisibis and Edessa, which have men who are good in many fields. There are very sagacious traders, good fighters, and wealthy men. They are provided with all sorts of goods, for they take in things from the Persians and are engaged in buying and selling throughout the entire Roman world; in their turn they trade with the Persians except for copper and iron, for it is not permitted to give copper and iron to enemies. These independent cities have, through the wisdom of their lord and master, walls which are renowned; in war these always render the Persians' valor useless. The cities are eager traders and transact their business well with every province. Edessa of Osdroena is also a fine city. "
https://topostext.org/work/835,344ad1cb-a54d-4435-b317-7655492e9bae,https://topostext.org/place/371388UEde,Edessa,['place'],:22,37.1455,38.7844,"§ 22  V. After these is our territory, for Mesopotamia and Osdroena follow. Mesopotamia has many different cities and I wish to mention the most outstanding. These are Nisibis and Edessa, which have men who are good in many fields. There are very sagacious traders, good fighters, and wealthy men. They are provided with all sorts of goods, for they take in things from the Persians and are engaged in buying and selling throughout the entire Roman world; in their turn they trade with the Persians except for copper and iron, for it is not permitted to give copper and iron to enemies. These independent cities have, through the wisdom of their lord and master, walls which are renowned; in war these always render the Persians' valor useless. The cities are eager traders and transact their business well with every province. Edessa of Osdroena is also a fine city. "
https://topostext.org/work/835,4c20d218-c19a-47e9-9efd-671398b17c8e,https://topostext.org/place/371388UEde,Edessa,['place'],:22,37.1455,38.7844,"§ 22  V. After these is our territory, for Mesopotamia and Osdroena follow. Mesopotamia has many different cities and I wish to mention the most outstanding. These are Nisibis and Edessa, which have men who are good in many fields. There are very sagacious traders, good fighters, and wealthy men. They are provided with all sorts of goods, for they take in things from the Persians and are engaged in buying and selling throughout the entire Roman world; in their turn they trade with the Persians except for copper and iron, for it is not permitted to give copper and iron to enemies. These independent cities have, through the wisdom of their lord and master, walls which are renowned; in war these always render the Persians' valor useless. The cities are eager traders and transact their business well with every province. Edessa of Osdroena is also a fine city. "
https://topostext.org/work/835,e9b95587-9e8f-4cc1-b93a-63f51442690d,https://topostext.org/place/370390ROsr,Osdroena,['place'],:22,37,39,"§ 22  V. After these is our territory, for Mesopotamia and Osdroena follow. Mesopotamia has many different cities and I wish to mention the most outstanding. These are Nisibis and Edessa, which have men who are good in many fields. There are very sagacious traders, good fighters, and wealthy men. They are provided with all sorts of goods, for they take in things from the Persians and are engaged in buying and selling throughout the entire Roman world; in their turn they trade with the Persians except for copper and iron, for it is not permitted to give copper and iron to enemies. These independent cities have, through the wisdom of their lord and master, walls which are renowned; in war these always render the Persians' valor useless. The cities are eager traders and transact their business well with every province. Edessa of Osdroena is also a fine city. "
https://topostext.org/work/835,effd1c19-d5a5-4bea-9fac-fc7e96260611,https://topostext.org/place/355390RSyr,Syria,['place'],:23,35.5,39,"§ 23  VI. Now there is the land of Syria. It is divided into three Syrias; Phoenicia, Palestine, and Coele. These have many different excellent and great cities; by mentioning just a little about these I shall surely delight my audience. First of all there is the prosperous, royal city of Antioch where the ruler of the world has his seat. It is a fine city, outstanding in its public works, and, although it takes in a great number of immigrants, it sustains them all as it abounds in all sorts of goods. "
https://topostext.org/work/835,734151f1-70f7-4323-b76a-b41c458fa084,https://topostext.org/place/335354RPho,Phoenicia,['place'],:23,33.5,35.4,"§ 23  VI. Now there is the land of Syria. It is divided into three Syrias; Phoenicia, Palestine, and Coele. These have many different excellent and great cities; by mentioning just a little about these I shall surely delight my audience. First of all there is the prosperous, royal city of Antioch where the ruler of the world has his seat. It is a fine city, outstanding in its public works, and, although it takes in a great number of immigrants, it sustains them all as it abounds in all sorts of goods. "
